,0
145,"We didn’t really know what to expect on our visit after reading some negative reviews on here…. 
Saturday lunch time 4 of us visited .
Staff on entrance were  very friendly and efficient , no queue as we had pre  booked for brunch at Aqua...More"
146,"Wow! What an experience. My wife & I visited this restaurant for lunch on her birthday Monday 6th June.
I chose this place purely because of the location as it sits on the 32nd floor of the iconic Shard building in London. The reviews I...More"
147,"We visited Aqua Shard for lunch today,  it was amazing!!!
Our  who are in our late 60’s.  The food, service and staff were absolutely outstanding.  
Your staff are to be commended for their consideration kindness and being extremely attentive to our every need. 
Our aunt...More"
148,"Visited Aqua Shard this week for lunch and had a wonderful time. Food, service and overall experience were first class and many thanks to Matradee (sorry forgotten his name) for allowing us to stay , enjoy a glass of champagne and look over the stunning...More"
149,"I had a fantastic lunch at Aqua at the dnd of April. It was my fathers birthday, he’s extremely picky and I wanted this to be a treat. We couldn’t get a table by the window which was a shame but they were very busy,...More"
150,"What can I say.. 
this is my best place in town. 
Average food, but the view pays the price. 
Breathtaking London View, lovely staff, Dave Kyle first. 
Love to come back often."
151,Went here for cocktails for my daughters 21st after a day shopping and lunch in London. I’ve been here a few times to eat but the experience we had wasn’t the greatest. Some staff were quite stuck up and rude and the cocktails we ordered...More
152,"Don't waste your money on the smoked salmon starter.  Sixteen pounds for 3 small thin strips.  Rip off. 8 quid for a bottle of lager .  
I won't be going back."
153,Really awful slow service. Took 15 minutes from being seated to given a menu. Given the wrong food for starter. Given knife and fork to eat desert. They didn't seem to know which course we were on! Had to ask for water to be refilled...More
154,"Sooo dissapointed……..A friend booked this event for my 60th …..she was wmbarrtthT she wasn’t allowed to pay on the phone ….
The service was ok….but £184 for two people afternoon tea (one glass of pink champagne & one glass of  original chanpagne ) ……wasn’t even...More"
155,Really looking forward to this visit and to be fair the view was great and I enjoyed our drinks (which were expensive but to be expected). However the staff seemed indifferent -took 20 minutes to get a drink and service was unenthusiastic and slow. I...More
156,"We went for my birthday so it was a celebration and supposed to be special but it was so far from special or fine dining I feel I have to warn others. 

First, you’re crammed in and when I say crammed in I was back...More"
157,"I want to say a special thanks to Zac, or at least I hope that's how his name is spelt at Aquashard, Peter Pan afternoon tea. He was the only one that I personally felt, went above and beyond to make the experience magical. 

He...More"
158,"Popped into aquashard for a quick drink prior to a booking in Obelisk West. We arrived thirty minutes early which should have been ample time for a drink.
Great views of course but service is terrible. It took ten minutes and a lot of waving...More"
159,So I took an American college for lunch. Was £115 without any drinks and that’s the set menu. The food was very nice don’t get me wrong and the trifle was insane. But a set menu that doesn’t include and veg or sides with your...More
